sku,total_qty,cumshare,class,pattern,adi,cv2,n_active_months,category,top_industry,top_region
CPG-030-T007A,110040.0,0.1493872597266664,A,Smooth,1.25,0.23772978792250066,12,TEC,0140伺服电机,江苏
CPG-030-T007B,55020.0,0.22408088958999958,A,Smooth,1.25,0.23772978792250066,12,TEC,0140伺服电机,江苏
BXR-13-20-A-22,36180.0,0.27319785666479773,A,Intermittent,1.3636363636363635,0.13318110937848074,11,CB,0140伺服电机,江苏
SFC-030SA2-10B-14B,23084.0,0.30453605644242737,A,Erratic,1.0,0.5887990377169219,15,TEC,1140半导体检查装置,广东
ALS-030ARN-10BHA-14BHA,18805.0,0.33006520419924273,A,Erratic,1.0,0.7990244329273877,15,TEC,1190其他半导体关联装置,江苏
ANTI-NOISE SPRING:XS-08-10-A-20,18000.0,0.3545015062265055,A,Intermittent,3.0,0.1388888888888889,5,CB,0140伺服电机,浙江
BXR-09-20-A-22,15660.0,0.37576108899022415,A,Intermittent,1.5,0.24970273483947675,10,CB,0140伺服电机,江苏
CPG-030-T001A,14000.0,0.39476710167809514,A,Intermittent,5.0,0.24489795918367346,3,TEC,0140伺服电机,江苏
SFC-020SA2-7B-8B,13564.0,0.4131812128279725,A,Smooth,1.0,0.4169612864317592,15,TEC,1210直接驱动机器人,江苏
BXH-08-10-A-60,9900.0,0.426621178942967,A,Smooth,1.0,0.17857142857142858,15,CB,0140伺服电机,浙江
BXH-08-10-A-78G,9600.0,0.43965387335750716,A,Smooth,1.1538461538461537,0.12695312500000003,13,CB,0140伺服电机,浙江
E-CF-H-050,9216.0,0.4521652599954657,A,Intermittent,1.3636363636363635,0.2864583333333333,11,CF,8020贸易公司,江苏
BXR-025-10LE-032,8797.0,0.46410782382512294,A,Erratic,1.0,0.5316642185661454,15,CB,1220多轴机器人,北京
BXR-09-20-A-32,8640.0,0.4758372487982091,A,Intermittent,3.75,0.16666666666666666,4,CB,0140伺服电机,江苏
E-CF-H-110,8432.0,0.4872842987256468,A,Smooth,1.1538461538461537,0.13302274316870039,13,CF,8020贸易公司,江苏
ALS-065ARN-28BHA-35BHA,8401.0,0.49868926391070434,A,Erratic,1.0,0.5439104254263784,15,TEC,1090其他机床,江苏
BXR-13-20-A-32,8100.0,0.5096855998229726,A,Intermittent,3.75,0.14814814814814817,4,CB,0140伺服电机,江苏
SFC-050SA2-T212,7860.0,0.5203561183748773,A,Smooth,1.25,0.3471931599663083,12,TEC,1090其他机床,辽宁
ALS-040ARN-15BHA-19BHA,7510.0,0.5305514866095853,A,Erratic,1.0714285714285714,0.9684241858272754,14,TEC,1190其他半导体关联装置,江苏
SFC-050SA2-T228,7200.0,0.5403260074204904,A,Smooth,1.1538461538461537,0.3263040123456791,13,TEC,1090其他机床,辽宁
CPG-030-T005B,7000.0,0.549829013764426,A,Intermittent,5.0,0.24489795918367346,3,TEC,0140伺服电机,江苏
SFC-080DA2-28B-35B,6354.0,0.5584550283800497,A,Smooth,1.0,0.449095883033239,15,TEC,1090其他机床,福建
SFC-050SA2-T229,5620.0,0.5660845849018951,A,Smooth,1.1538461538461537,0.4475141736637918,13,TEC,1090其他机床,辽宁
ALS-065ARN-25BHA-35BHA,5107.0,0.5730177068159634,A,Smooth,1.0,0.11973025622267275,15,TEC,1010切削机械,浙江
